OBJECTID,GTFS_Stop_ID,Station_ID,Complex_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,GTFS_Latitude,GTFS_Longitude,North_Direction_Label,South_Direction_Label,Fare_Evasion,Ridership,Evasion_Percentage
59,B12,59,59,BMT,West End,9 Av,Bk,D,Open Cut,40.646292,-73.994324,Manhattan,Southbound,6,367774,0.001631437
60,B13,60,60,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,Manhattan,Southbound,33,261520,0.012618538
61,B14,61,61,BMT,West End,50 St,Bk,D,Elevated,40.63626,-73.994791,Manhattan,Southbound,,196928,
62,B15,62,62,BMT,West End,55 St,Bk,D,Elevated,40.631435,-73.995476,Manhattan,Southbound,,107426,
63,B16,63,615,BMT,West End,62 St,Bk,D,Elevated,40.626472,-73.996895,Manhattan,Southbound,5,293212,0.001705251
64,B17,64,64,BMT,West End,71 St,Bk,D,Elevated,40.619589,-73.998864,Manhattan,Southbound,1,301793,0.000331353
65,B18,65,65,BMT,West End,79 St,Bk,D,Elevated,40.613501,-74.00061,Manhattan,Southbound,8,386597,0.002069338
66,B19,66,66,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736,Manhattan,Southbound,25,359953,0.006945351
67,B20,67,67,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168,Manhattan,Southbound,2,298537,0.000669934
68,B21,68,68,BMT,West End,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728,Manhattan,Southbound,33,438243,0.007530069
69,B22,69,69,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829,Manhattan,Coney Island,1,243202,0.000411181
70,B23,70,70,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588841,-73.983765,Manhattan,Coney Island,13,170334,0.007632064
71,N02,71,71,BMT,Sea Beach,8 Av,Bk,N,Open Cut,40.635064,-74.011719,Manhattan,Coney Island,34,718048,0.00473506
72,N03,72,72,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351,Manhattan,Coney Island,,400640,
73,N04,73,615,BMT,Sea Beach,New Utrecht Av,Bk,N,Open Cut,40.624842,-73.996353,Manhattan,Coney Island,4,293212,0.001364201
74,N05,74,74,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,1,308293,0.000324367
75,N06,75,75,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026,Manhattan,Coney Island,13,260082,0.004998424
76,N07,76,76,BMT,Sea Beach,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848,Manhattan,Coney Island,21,414148,0.005070651
77,N08,77,77,BMT,Sea Beach,Kings Hwy,Bk,N,Open Cut,40.603923,-73.980353,Manhattan,Coney Island,5,342209,0.001461095
78,N09,78,78,BMT,Sea Beach,Avenue U,Bk,N,Open Cut,40.597473,-73.979137,Manhattan,Coney Island,,242054,
79,N10,79,79,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721,-73.97823,Manhattan,Coney Island,1,143661,0.000696083
80,J12,80,80,BMT,Jamaica,121 St,Q,J Z,Elevated,40.700492,-73.828294,Jamaica,Manhattan,,137941,
81,J13,81,81,BMT,Jamaica,111 St,Q,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan,,141032,
82,J14,82,82,BMT,Jamaica,104 St,Q,J Z,Elevated,40.695178,-73.84433,Jamaica,Manhattan,1,159495,0.000626979
83,J15,83,83,BMT,Jamaica,Woodhaven Blvd,Q,J Z,Elevated,40.693879,-73.851576,Jamaica,Manhattan,,291021,
84,J16,84,84,BMT,Jamaica,85 St-Forest Pkwy,Q,J,Elevated,40.692435,-73.86001,Jamaica,Manhattan,,201308,
85,J17,85,85,BMT,Jamaica,75 St-Elderts Ln,Q,J Z,Elevated,40.691324,-73.867139,Jamaica,Manhattan,,194927,
86,J19,86,86,BMT,Jamaica,Cypress Hills,Bk,J,Elevated,40.689941,-73.87255,Queens,Manhattan,,67910,
87,J20,87,87,BMT,Jamaica,Crescent St,Bk,J Z,Elevated,40.683194,-73.873785,Outbound,Manhattan,,254928,
88,J21,88,88,BMT,Jamaica,Norwood Av,Bk,J Z,Elevated,40.68141,-73.880039,Outbound,Manhattan,,164208,
89,J22,89,89,BMT,Jamaica,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,Outbound,Manhattan,,136604,
90,J23,90,90,BMT,Jamaica,Van Siclen Av,Bk,J Z,Elevated,40.678024,-73.891688,Outbound,Manhattan,1,184405,0.000542285
91,J24,91,91,BMT,Jamaica,Alabama Av,Bk,J Z,Elevated,40.676992,-73.898654,Outbound,Manhattan,,127372,
